method,mean_diff,std_diff,kurtosis_diff,skew_diff,autocorr_diff_lag1,autocorr_diff_lag5,autocorr_diff_lag10,arch_pval_real,arch_pval_gen,arch_pval_diff,var_diff,cvar_diff,mmd
VAE,0.33372625708580017,1.7634096145629883,1471.548583984375,11.313765525817871,0.23831156398963804,0.25758151681603875,0.15626829242239412,0.0,0.0,0.0,2.104171055667103,2.514223575592041,0.1686360090970993
GAN,0.03452412039041519,0.5317177176475525,1457.8704833984375,10.69234561920166,0.07147665906671863,0.03860522288594531,0.004516723467116707,0.0,0.0,0.0,0.03564625002443789,0.03059697151184082,0.0007031410932540894
MCD,0.0611407533288002,0.6712602376937866,542.2020874023438,5.80385684967041,0.11459058567869884,0.3644781919638586,0.3462637060309369,0.0,0.0,0.0,0.8000341645628213,0.9127373695373535,0.013304591178894043
MCD-Adaptive,0.028317222371697426,0.6454321146011353,759.4635009765625,10.064325332641602,0.11454884774797813,0.36467497035908764,0.3458641125964398,0.0,0.0,0.0,0.8312433181330561,0.9352223873138428,0.016407594084739685
Uncond-Diff,22.291881561279297,607.4581909179688,1971.197509765625,12.475976943969727,0.35354632624345317,0.40973498764220767,0.6937146850697541,0.0,0.0,0.0,882.4861833529545,1310.5369873046875,0.07965829223394394
