method,mean_diff,std_diff,kurtosis_diff,skew_diff,autocorr_diff_lag1,autocorr_diff_lag5,autocorr_diff_lag10,arch_pval_real,arch_pval_gen,arch_pval_diff,var_diff,cvar_diff,mmd
VAE,0.4131956100463867,1.661564588546753,2543.880615234375,23.922454833984375,0.2194152587509196,0.21647123021640807,0.12435129023657623,7.442724693884346e-54,4.4016318567201945e-194,7.442724693884346e-54,2.2153541882149876,2.7375473976135254,0.13236801326274872
GAN,0.043412815779447556,0.4344356954097748,2528.48583984375,23.29510498046875,0.017845318690260403,0.017071972212080455,0.024064740602064455,7.442724693884346e-54,0.0,7.442724693884346e-54,0.004685608297586352,0.0013893842697143555,0.001082584261894226
MCD,0.03444666415452957,0.6019497513771057,1792.2535400390625,14.864374160766602,0.1398358212641636,0.39480437884495434,0.3506159894895001,7.442724693884346e-54,0.0,7.442724693884346e-54,0.8508438544534149,0.9575080871582031,0.012979850172996521
MCD-Adaptive,0.06223046034574509,0.6151735782623291,1666.9437255859375,15.87987232208252,0.1400104455078257,0.39500427972051255,0.35156333442027476,7.442724693884346e-54,0.0,7.442724693884346e-54,0.810778853092343,0.8515756130218506,0.011522099375724792
Uncond-Diff,38.63273620605469,2536.47998046875,876.9039306640625,23.647899627685547,0.4252765436559561,0.4332549772551435,0.301381486213406,7.442724693884346e-54,0.0,7.442724693884346e-54,3110.388014206141,4711.94287109375,0.07725073397159576
