method,mean_diff,std_diff,kurtosis_diff,skew_diff,autocorr_diff_lag1,autocorr_diff_lag5,autocorr_diff_lag10,arch_pval_real,arch_pval_gen,arch_pval_diff,var_diff,cvar_diff,mmd
VAE,0.41403689980506897,1.712080717086792,1667.620361328125,19.539976119995117,0.23593416066736816,0.22573116332796342,0.12939235583731237,4.484272964152274e-146,3.994947780465171e-187,4.484272964152274e-146,2.2263558312505487,2.7788138389587402,0.12600018084049225
GAN,0.045571960508823395,0.4842579960823059,1651.6982421875,19.03719139099121,0.03522379706360146,0.007658516043293595,0.02243933788999794,4.484272964152274e-146,0.0,4.484272964152274e-146,0.022596953921020013,0.041495442390441895,0.0008051246404647827
MCD,0.038123421370983124,0.6723855137825012,1072.8363037109375,7.791117191314697,0.12156402995441973,0.38296135065121767,0.34523745263896943,4.484272964152274e-146,0.0,4.484272964152274e-146,0.8731469362601643,1.032246470451355,0.011253923177719116
Uncond-Diff,38.335662841796875,2461.600341796875,1124.1239013671875,19.716833114624023,0.4504862010596896,0.45509114003101536,0.28536427025922034,4.484272964152274e-146,0.0,4.484272964152274e-146,3101.8096449974178,4693.64599609375,0.07639958709478378
